Log for:/Users/peak/polybox/Study/FHNW/FHNW/ipg/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2024-11-08T18:00:47Z
#=#=#=#=# Propagation starts 2024-11-08T18:00:57Z (last step: 10133 msec , total: 10133 msec) 
2024-11-08T18:00:57+00:00 | Assessment/mündliche Prüfung/IPG-Themenvorschläge mündliche Prüfung.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1723649778 | a0422b85334393128dd3f891c4b4219c | 48061 | 7787670196oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | bbad20da-a1ed-470b-897b-40107e2b2192 | 
2024-11-08T18:00:57+00:00 | Lektionen/01. Einführung/Aufgaben/01 - Aufgaben - VirtualBox installieren-4.1.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1688388968 | d0462dd4ac328e9ae88de198e9fb8211 | 81242 | 7872441256oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 0215a188-b471-41ef-acb8-cbe6a39dded0 | 
2024-11-08T18:00:57+00:00 | Assessment/schriftliche Prüfung/IPG_Prüfung_Fragenkatalog-2.0.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1649755949 | ea3116898465322a80f28cf87a0fdb66 | 491260 | 7880270511oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 4ccd7adb-900a-4f32-a011-9ebfb2842b30 | 
2024-11-08T18:00:57+00:00 | Lektionen/01. Einführung/Aufgaben/02 - Aufgaben - Debian-mini installieren-4.1.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1688388759 | c93b93208bcf4a3a797ba5681edcf276 | 85177 | 7872480201oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | ca059a4f-aaed-4534-8a37-c83e64fba682 | 
2024-11-08T18:00:57+00:00 | Assessment/schriftliche Prüfung/IPG-Infos-schriftliche-Prüfung.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1656950876 | 3161431fa47468adc1503683603ca55d | 122416 | 7787671931oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 8e57f09e-ec3e-4195-97ad-d62c0c504fcb | 
 | Assessment/schriftliche Prüfung | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1726120192 | 66e281006c327 | 0 | 7787509031oc641cdd42e0 | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
2024-11-08T18:00:57+00:00 | Assessment/mündliche Prüfung/IPG-mündliche Prüfung-Bewertungsschema.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1584622772 | a7c12675fb2b37047d8e354c1b56c6f8 | 25970 | 7787509691oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | e0142837-f437-4f5b-a5d2-7491a1e0045c | 
2024-11-08T18:00:58+00:00 | Lektionen/01. Einführung/Aufgaben/02b - Aufgaben - Debian-mini installieren-unter UTM-1.1.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1694765331 | fdba31be997e448635476103f47eb19a | 73099 | 7872475461oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 1936949b-95df-4890-bf2a-6452e2fe5135 | 
2024-11-08T18:00:58+00:00 | Lektionen/01. Einführung/Aufgaben/03 - Aufgaben - Debian - einfache Kommandos kennenlernen-4.0.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1690209680 | bc3135b8010735a9377515ea6f9054cd | 89777 | 7872444251oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | d7c73fd9-38b3-4024-bd5b-15782c5ef689 | 
2024-11-08T18:00:58+00:00 | Lektionen/01. Einführung/Aufgaben/Mac-Tastatur-in-Dabian-konfigurieren-4.0.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1693916685 | 62928a18d1d904f0fdda6f7f5a840f61 | 67172 | 7872445801oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | db02e7b7-349e-4fda-90fa-c2093c78fba7 | 
2024-11-08T18:00:58+00:00 | Lektionen/01. Einführung/Aufgaben/Direkt aus Windows ins BIOS.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1550667761 | 8ca5f8f5ce51570d09ab23b375b46295 | 354754 | 7875956031oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 0b68dfe4-1ac8-4478-ab5e-5d0c6b3cb5ef | 
